age,exposure,id
20,-62.72968144394457,103
21,-52.73809232132719,103
22,-45.12450722236347,103
23,-36.76187723873818,103
24,-39.86597320730864,103
25,-30.971469318910852,103
26,-34.18281767441826,103
27,-31.808094988822113,103
28,-36.93267494361822,103
29,-13.015179766339326,103
30,-24.321616949474855,103
31,-24.516249502842733,103
32,-36.04225146549119,103
33,-57.451148295800074,103
34,-56.469267254049875,103
35,-37.75435768470499,103
36,-35.306942807888625,103
37,-34.36494661672758,103
38,-36.43072369772891,103
39,-37.59199762108598,103
40,-35.340811239027765,103
41,-46.77323340501823,103
42,-33.61406459335166,103
43,-31.78248248184369,103
44,-52.6815420112698,103
45,-41.0823622853536,103
46,-22.80998696247418,103
47,-20.623301829168817,103
48,-10.071250316539045,103
49,-13.07568780337385,103
50,-11.684148504481813,103
51,-17.967458123121123,103
52,-21.347355319251218,103
53,-20.639473439319808,103
54,-28.249101008713737,103
55,-37.57081256376699,103
56,-47.3669443127188,103
57,-46.326648690373275,103
58,-45.8071319744187,103
59,-39.02044221190365,103
60,-28.503481496652373,103
61,-18.7460752684782,103
62,-12.203568908171693,103
63,-9.32646834335476,103
64,3.854622353613175,103
65,1.8221646216494491,103
66,1.3513887859594709,103
67,-11.782911917489894,103
68,4.417425468962167,103
69,3.1716525283652874,103
32,-32.74521811813281,118
33,-24.791700688841015,118
34,-6.561794370452393,118
35,-11.961235983854873,118
36,-31.67371903693644,118
37,-43.66296014632972,118
38,-15.337031134609802,118
39,-16.80287115674769,118
40,-21.28230324988545,118
41,-28.924819914817313,118
42,-39.12099825902371,118
43,-37.53080561611401,118
44,-22.828579498718508,118
45,-22.288322005222767,118
46,-31.602781061592303,118
47,-14.43333965123718,118
48,-19.44079012616316,118
49,-21.527913785637786,118
50,-24.709642682099712,118
51,-14.184688051620217,118
52,-9.999088824983462,118
53,-11.990275489672992,118
54,-26.771597315825023,118
55,-12.781755170323361,118
56,-4.751691303078642,118
57,-4.309345357969047,118
58,-14.016436826573072,118
59,-23.4159614687909,118
60,-37.827404788610906,118
61,-31.711208383716233,118
62,-26.01305187706012,118
63,-21.588108645984597,118
64,-5.86774939073104,118
65,7.836850215137552,118
66,5.392185002445789,118
67,3.553650629298528,118
68,-1.2150748247830776,118
69,10.494541179189756,118
70,27.395853712239195,118
39,-31.851052289951514,194
40,-38.38611730217332,194
41,-25.08237091377164,194
42,-32.58357600365387,194
43,-21.636611516404393,194
44,-10.817893595024247,194
45,-9.153240126997625,194
46,-5.951905107417765,194
47,6.114863861773799,194
48,2.570353051429503,194
49,-17.330853758534776,194
50,-8.59846274090692,194
51,-20.03626859699724,194
52,-15.431450432784242,194
53,1.524235834044454,194
54,-3.482737985840746,194
55,7.419042053370202,194
56,4.822822460521877,194
57,-7.34348171326367,194
58,-2.5946312718153806,194
59,-7.674693817655699,194
60,-23.516566746168763,194
61,-28.66546264636918,194
62,-27.726630221343058,194
63,-25.298588821780356,194
64,-37.68383011514148,194
65,-32.355448237186295,194
66,-2.2984489869656004,194
67,6.5405341308427865,194
68,9.266218486775745,194
69,13.916070043333296,194
70,38.5433203440758,194
71,34.36088293950298,194
72,30.87396844842044,194
73,18.039825652064312,194
40,-19.66713118321477,218
41,-30.61155480548521,218
42,-19.815419154106912,218
43,-17.833205495446357,218
44,-22.826824860142942,218
45,-31.724692944321273,218
46,-24.70016216822428,218
47,-19.406769227790612,218
48,-12.083463971528658,218
49,-13.982690457306111,218
50,-26.39748968370205,218
51,-27.454438968857033,218
52,-19.400652880645357,218
53,-20.6583431582206,218
54,-22.58973067138434,218
55,-17.727403640855066,218
56,2.043399294945022,218
57,-4.932175339336922,218
58,-9.54416001528327,218
59,-22.578025968175577,218
60,-20.445047652470564,218
61,-25.462540679109914,218
62,-14.778313287946997,218
63,-9.130551262540129,218
64,-10.9721590589247,218
65,-7.491843171071206,218
66,-18.728960515998345,218
67,-10.694680541382095,218
68,-0.7131782673019953,218
69,13.552554066764458,218
70,18.19705502066824,218
40,-29.53152367163505,271
41,-21.217995017129823,271
42,-36.610310244673016,271
43,-20.030820057238813,271
44,-19.742140405415036,271
45,-21.13221357632328,271
46,-21.738101474410172,271
47,-4.803338538259553,271
48,2.523082124572845,271
49,3.1351750464101222,271
50,0.15143222819715163,271
51,-10.161734152996623,271
52,-9.0686722931084,271
53,-9.293266393608976,271
54,11.316346387347448,271
55,0.3843641646250635,271
56,-0.9892740960479163,271
57,-8.717052608014471,271
58,-20.425784605274924,271
59,-13.156094416724923,271
60,-20.532643650924484,271
61,-13.574805276583387,271
62,-16.47859258439441,271
63,-23.06408596321814,271
64,-28.37302388968405,271
65,-9.067318523133011,271
66,10.333702768903613,271
67,2.37982579082942,271
68,-0.29640638418815635,271
69,-1.5132414405887045,271
70,-8.635661658168623,271
71,7.504903681736167,271
72,-6.34316237648906,271
73,5.037091790165132,271
74,14.867730335370448,271
75,3.6732211644700694,271
76,-15.114760119941696,271
77,-16.586995009840365,271
37,-19.02974331438729,298
38,-34.32363545796576,298
39,-63.994202482332895,298
40,-54.01219801019164,298
41,-44.932849253500855,298
42,-47.69527555422616,298
43,-50.54108894735718,298
44,-53.10875005033029,298
45,-47.15180505086851,298
46,-32.418229412191906,298
47,-22.811851183942633,298
48,-17.64519311660453,298
49,-9.775428034057741,298
50,-14.811415887586895,298
51,-3.2363809378943618,298
52,-20.80633908012959,298
53,-7.745448356171702,298
54,-4.451578778928845,298
55,-4.847370490991429,298
56,-2.614381798338176,298
57,1.9343178790525037,298
58,-5.675951085532974,298
59,-2.191038353005556,298
60,6.588234434563958,298
61,9.247135213712696,298
62,3.6777104051784058,298
63,6.8880098536177155,298
64,18.568589633344157,298
65,16.859080407008193,298
66,8.656652564303277,298
67,12.949507176320473,298
68,0.7154586451258682,298
